Normais Climatológicas do Brasil 1961-1990
Pressão Atmosférica ao Nível do Barômetro (hPa)
Código;Nome da Estação;UF;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Ano
82704;Cruzeiro do Sul;AC;988,2;987,7;987,5;988,2;989,3;990,6;991,3;990,3;989,4;988,2;987,2;987,4;988,8
82915;Rio Branco;AC;992,5;993,1;993,4;994,2;994,7;996,5;996,8;996,8;994,4;992,4;991,4;991,6;994,0
83098;Coruripe;AL;1010,9;1011,0;1010,9;1010,9;1012,9;1014,2;1015,7;1016,0;1015,5;1013,8;1012,6;1011,6;1013,0
82994;Maceió;AL;1005,4;1005,2;1004,9;1005,0;1006,3;1008,0;1008,9;1009,0;1008,5;1007,1;1005,5;1004,9;1006,6
82996;Porto de Pedras;AL;1007,2;1007,2;1007,0;1007,2;1008,6;1010,7;1012,2;1011,9;1011,8;1010,2;1008,4;-;-
82113;Barcelos;AM;997,0;996,9;997,0;997,3;998,2;998,9;999,3;998,5;997,7;996,8;996,3;996,5;997,5
82410;Benjamin Constant;AM;1002,7;1002,2;1002,0;1001,6;1002,8;1003,2;1003,2;1002,6;1002,5;1001,4;1000,9;1002,1;1002,3
82418;Carauari;AM;1002,5;1002,7;1002,1;1002,2;1003,0;1004,0;1004,7;1003,5;1003,1;1001,7;1001,9;1001,8;1002,8
82425;Coari;AM;1004,1;1004,1;1004,3;1004,5;1004,9;1005,6;1005,7;1005,2;1004,8;1004,3;1004,0;1004,1;1004,6
82326;Codajás;AM;1004,9;1004,2;1004,2;1004,4;1005,4;1006,6;1006,6;1005,8;1005,0;1004,2;1003,5;1004,0;1004,9
82212;Fonte Boa;AM;1002,3;1002,4;1002,8;1003,1;1003,7;1004,6;1004,9;1004,3;1003,6;1002,9;1002,3;1002,4;1003,3
82727;Humaitá;AM;1002,3;1002,4;1002,5;1002,6;1003,8;1004,2;1004,6;1003,5;1002,9;1001,9;1001,3;1001,3;1002,8
82067;Iauaretê;AM;996,7;996,9;997,2;997,5;998,7;999,5;999,8;999,2;998,4;997,2;996,4;996,5;997,8
82336;Itacoatiara;AM;1008,0;1008,1;1008,0;1008,2;1008,7;1009,8;1009,8;1009,3;1008,4;1007,2;1006,8;1006,6;1008,2
82331;Manaus;AM;1003,2;1003,2;1003,3;1003,4;1004,2;1005,1;1005,4;1004,6;1003,8;1002,8;1002,4;1002,6;1003,7
82533;Manicoré;AM;1002,5;1002,2;1002,1;1002,4;1002,9;1003,3;1003,7;1002,9;1002,6;1001,9;1001,8;1001,8;1002,5
82100;Paricachoeira;AM;991,7;991,5;991,9;992,3;993,5;994,3;994,9;994,1;993,3;991,9;991,0;991,2;992,6
82240;Parintins;AM;1007,8;1008,5;1008,5;1008,5;1009,0;1010,1;1010,5;1009,7;1008,9;1008,2;1007,5;1007,9;1008,8
82106;S. G. da Cachoeira (Uaupés);AM;999,3;999,1;999,3;999,7;1000,7;1001,7;1002,0;1001,3;1000,5;999,4;998,7;999,0;1000,1
82103;Taracuá;AM;998,0;997,8;998,2;998,6;999,5;1000,2;1000,6;1000,1;999,2;998,2;997,3;997,5;998,8
82098;Macapá;AP;1008,6;1008,8;1008,8;1008,3;1009,2;1010,1;1010,5;1009,9;1009,2;1008,2;1007,8;1007,7;1008,9
83236;Barreiras;BA;959,5;959,5;959,8;960,2;961,4;963,1;964,1;962,1;960,9;959,6;959,3;959,2;960,7
83288;Bom Jesus da Lapa;BA;960,7;960,8;960,6;961,5;962,8;964,5;965,0;964,0;962,5;961,0;960,2;960,3;962,0
