Normais Climatológicas do Brasil 1961-1990
Temperatura Média Compensada (°C)
Código;Nome da Estação;UF;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Ano
82704;Cruzeiro do Sul;AC;25,3;25,1;25,1;24,9;24,7;24,0;23,8;24,7;25,0;25,2;25,2;25,2;24,9
82915;Rio Branco;AC;25,3;25,2;25,4;25,2;24,4;23,3;23,2;24,2;25,2;25,7;25,6;25,4;24,8
82807;Tarauacá;AC;25,3;25,3;25,3;25,2;24,7;23,8;23,7;24,2;25,0;25,5;25,5;25,5;24,9
83098;Coruripe;AL;26,7;26,4;26,1;25,8;24,9;24,4;23,6;23,5;24,0;25,1;25,6;26,4;25,2
82994;Maceió;AL;26,5;26,5;26,4;26,0;25,2;24,3;23,6;23,6;24,3;25,3;25,9;26,2;24,8
82113;Barcelos;AM;25,9;26,3;26,3;26,0;25,6;25,4;25,4;25,7;25,9;26,2;26,3;26,3;25,9
82410;Benjamin Constant;AM;25,5;25,5;25,7;25,7;25,5;25,2;25,1;25,4;25,7;25,9;25,7;25,5;25,5
82418;Carauari;AM;25,5;25,5;25,4;25,4;25,2;24,8;24,6;25,2;25,5;25,8;25,7;25,5;25,3
82425;Coari;AM;25,8;25,8;26,0;26,0;26,1;26,0;26,0;26,6;26,7;26,6;26,5;26,3;26,2
82212;Fonte Boa;AM;25,7;25,9;25,5;25,5;25,4;25,0;24,8;25,4;25,6;26,1;26,1;25,7;25,6
82067;Iauaretê;AM;25,7;25,7;25,7;25,7;25,5;25,1;24,8;25,3;25,6;25,7;25,7;25,8;25,5
82336;Itacoatiara;AM;25,8;25,8;25,9;26,0;26,3;26,3;26,2;26,7;27,1;27,2;27,1;26,4;26,4
82723;Lábrea;AM;25,6;25,5;26,0;25,7;25,4;24,9;25,0;25,5;25,8;26,1;25,8;25,5;25,6
82331;Manaus;AM;26,1;25,9;26,0;26,2;26,2;26,4;26,5;27,3;27,7;27,7;27,2;26,6;26,7
82533;Manicoré;AM;25,8;25,8;26,1;26,3;25,9;26,0;26,1;26,7;26,7;26,9;26,7;26,2;26,2
82100;Paricachoeira;AM;24,9;25,0;25,0;25,0;24,7;24,2;24,0;24,4;24,8;25,2;25,2;24,9;24,8
82240;Parintins;AM;26,7;26,4;26,6;26,7;26,7;26,8;26,8;27,7;28,2;28,5;28,3;27,4;27,2
82105;Rio Içana;AM;25,8;26,0;25,9;25,7;25,4;25,1;24,9;25,4;25,8;26,1;26,1;26,0;25,7
82106;S. G. da Cachoeira(Uaupés);AM;25,9;26,1;26,0;25,8;25,4;24,9;24,7;25,2;25,7;26,0;26,0;25,9;25,6
82108;Santa Izabel do Rio Negro;AM;25,6;25,9;25,7;25,6;25,3;25,0;24,9;25,2;25,6;26,1;26,2;25,9;25,6
82103;Taracuá;AM;25,8;26,0;25,9;25,8;25,5;25,1;24,7;25,2;25,6;26,0;26,0;25,8;25,6
82317;Tefé;AM;26,1;26,1;26,2;26,2;26,1;25,7;25,8;26,3;26,6;26,7;26,6;26,3;26,2
82093;Cupixi;AP;24,8;24,9;25,0;25,3;25,3;25,1;24,9;25,4;25,9;26,3;26,2;25,9;25,4
82098;Macapá;AP;25,9;25,7;25,7;26,0;26,2;26,2;26,1;26,8;27,5;28,0;27,8;27,1;26,6
82095;Porto Platon;AP;25,3;24,9;25,0;25,4;25,3;25,3;25,5;26,1;26,7;26,9;26,9;26,2;25,8
83249;Alagoinhas;BA;25,9;25,7;25,5;25,0;23,6;22,5;21,5;21,5;22,6;24,3;25,1;25,5;24,1
83236;Barreiras;BA;24,7;24,7;24,5;24,4;23,4;22,0;21,9;23,6;25,9;26,4;25,3;24,6;24,3
83288;Bom Jesus da Lapa;BA;25,3;25,4;25,3;25,1;24,5;23,1;23,0;24,4;26,2;26,4;25,4;25,0;24,9
83339;Caetité;BA;22,1;22,4;22,3;21,7;20,6;19,5;18,9;20,0;21,5;22,5;22,1;21,9;21,3
83498;Caravelas;BA;26,0;26,3;26,1;25,3;23,8;22,5;21,8;22,1;23,0;24,2;24,8;25,5;24,3
83192;Cipó;BA;26,7;26,8;26,4;25,8;24,5;23,1;22,6;22,5;23,8;25,3;26,2;26,5;25,0
83348;Ilhéus;BA;25,9;26,0;25,9;25,3;24,1;22,7;22,0;22,2;23,2;24,4;24,9;25,4;24,3
